a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
27	58	652923	0.781349	0.000001	0.000000	0.076143	0.000000	0.057632	0.000000	0.084874	0.000000	0.000001	0.142506	0.161018	0.000000	0.000000	0.000000	0.084874	0.000000	0.084874	0.151762	-0.009256	-1513403.901081	302	-1	0.450643	5.020082e-01,1.324824e-01,4.083317e-02,1.355725e-01,7.148757e-02,2.590870e-02,3.992281e-02,2.384292e-02,2.794175e-02	1.129651	0.179364	-0.195373	-1654486.430383	14
27	59	694419	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.479283	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	60	646623	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.446294	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	61	649627	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.448368	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	62	663814	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.458159	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	63	673046	0.790841	0.000002	0.000000	0.067905	0.000000	0.053657	0.000000	0.087595	0.000001	0.000002	0.141252	0.155501	0.000001	0.000001	0.000001	0.087595	0.000001	0.087595	0.148377	-0.007124	-1526614.182189	62	-1	0.464531	5.020891e-01,1.336176e-01,4.025177e-02,1.349095e-01,7.237763e-02,2.575961e-02,3.979153e-02,2.381575e-02,2.738754e-02	1.105912	0.181787	-0.189494	-1671288.261980	11
27	64	651634	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.449753	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	65	644987	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.445165	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	66	655831	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.452650	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	67	645182	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.445300	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	68	669527	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.462103	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	69	654276	0.780368	0.000107	0.000000	0.078106	0.000001	0.065801	0.000003	0.075614	0.000000	0.000056	0.141418	0.153721	0.000029	0.000001	0.000001	0.075614	0.000000	0.075614	0.147625	-0.006153	-1473046.964648	78	-1	0.451576	5.017693e-01,1.333529e-01,3.977709e-02,1.351850e-01,7.194265e-02,2.635048e-02,3.849777e-02,2.457688e-02,2.854792e-02	1.088018	0.180879	-0.182598	-1614258.638220	10
27	70	668891	0.789212	0.000001	0.000000	0.068128	0.000000	0.062518	0.000000	0.080142	0.000000	0.000000	0.142660	0.148270	0.000000	0.000000	0.000000	0.080142	0.000000	0.080142	0.145465	-0.002805	-1482506.568136	94	-1	0.461664	5.006723e-01,1.346621e-01,3.964533e-02,1.353757e-01,7.221921e-02,2.574406e-02,3.975384e-02,2.430114e-02,2.762637e-02	1.099419	0.180782	-0.186384	-1626339.368866	10
27	71	669014	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.461748	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	72	608864	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.420233	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	73	629761	0.782340	0.000097	0.000000	0.074391	0.000000	0.057138	0.000000	0.086033	0.000000	0.000049	0.143171	0.160424	0.000024	0.000000	0.000000	0.086033	0.000000	0.086033	0.151847	-0.008627	-1404062.749393	78	-1	0.434656	5.070996e-01,1.287498e-01,3.987474e-02,1.354642e-01,7.148265e-02,2.544799e-02,3.887826e-02,2.446259e-02,2.854013e-02	1.101708	0.181946	-0.188198	-1541466.169684	11
27	74	611653	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.422158	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	75	605991	0.806870	0.000018	0.000000	0.052474	0.000000	0.061925	0.000000	0.078712	0.000000	0.000009	0.140637	0.131186	0.000005	0.000000	0.000000	0.078712	0.000000	0.078712	0.135921	0.004726	-1369341.140316	78	-1	0.418250	4.985249e-01,1.370637e-01,3.787809e-02,1.343558e-01,7.419998e-02,2.531335e-02,3.890321e-02,2.484627e-02,2.891480e-02	1.034789	0.186263	-0.168864	-1502047.362038	11
27	76	617085	0.785619	0.000009	0.000000	0.073631	0.000000	0.060130	0.000000	0.080612	0.000000	0.000005	0.140742	0.154243	0.000002	0.000000	0.000000	0.080612	0.000000	0.080612	0.147497	-0.006751	-1385616.636890	86	-1	0.425907	5.021561e-01,1.331408e-01,3.928754e-02,1.355123e-01,7.113538e-02,2.651861e-02,3.923659e-02,2.405001e-02,2.896272e-02	1.103869	0.178846	-0.186163	-1520869.474313	11
27	77	660905	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.456152	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	78	613742	0.809658	0.000000	0.000000	0.050465	0.000000	0.056782	0.000000	0.083095	0.000000	0.000000	0.139877	0.133561	0.000000	0.000000	0.000000	0.083095	0.000000	0.083095	0.136719	0.003158	-1371705.191683	82	-1	0.423600	4.993764e-01,1.358427e-01,3.861027e-02,1.351238e-01,7.385797e-02,2.483943e-02,3.921824e-02,2.489764e-02,2.823359e-02	1.053759	0.185325	-0.174628	-1506471.730168	11
27	79	664041	0.812827	0.000019	0.000000	0.044688	0.000000	0.059997	0.000000	0.082468	0.000000	0.000010	0.142466	0.127157	0.000005	0.000000	0.000000	0.082468	0.000000	0.082468	0.134821	0.007655	-1430674.416322	86	-1	0.458316	5.038566e-01,1.355945e-01,3.653115e-02,1.337120e-01,7.399465e-02,2.482706e-02,3.909518e-02,2.464773e-02,2.774105e-02	1.022051	0.187610	-0.165516	-1575126.814185	10
27	80	570603	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.393826	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	81	590786	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.407756	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	82	578654	0.786806	0.000000	0.000000	0.074259	0.000000	0.059455	0.000000	0.079479	0.000000	0.000000	0.138934	0.153739	0.000000	0.000000	0.000000	0.079479	0.000000	0.079479	0.146337	-0.007402	-1243186.108175	102	-1	0.399383	5.018143e-01,1.314841e-01,3.944108e-02,1.363175e-01,7.144659e-02,2.649145e-02,3.902266e-02,2.436462e-02,2.961770e-02	1.098215	0.179911	-0.185204	-1370889.710743	14
27	83	531377	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.366752	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
27	84	524168	0.806272	0.000006	0.000000	0.055779	0.000000	0.059526	0.000000	0.078417	0.000000	0.000003	0.137944	0.134196	0.000002	0.000000	0.000000	0.078417	0.000000	0.078417	0.136073	0.001874	-1088571.424094	102	-1	0.361777	5.006964e-01,1.327074e-01,3.733353e-02,1.365034e-01,7.263059e-02,2.580886e-02,3.828147e-02,2.500922e-02,3.102901e-02	1.041090	0.183576	-0.168926	-1204721.645342	14
27	85	319705	0.757631	0.000000	0.000000	0.118141	0.000000	0.022733	0.000133	0.101362	0.000000	0.000100	0.124228	0.219503	0.000066	0.000066	0.000000	0.101362	0.000000	0.101362	0.171932	-0.047704	-657532.894590	70	-1	0.220658	5.069609e-01,1.147626e-01,4.332988e-02,1.404091e-01,6.935552e-02,2.899424e-02,3.940051e-02,2.154741e-02,3.523985e-02	1.192845	0.178547	-0.216247	-729823.384503	18
27	86	320133	0.746609	0.000000	0.000000	0.125475	0.000000	0.025153	0.000000	0.102763	0.000000	0.000000	0.127915	0.228238	0.000000	0.000000	0.000000	0.102763	0.000000	0.102763	0.178077	-0.050161	-663386.563760	110	-1	0.220953	5.063158e-01,1.144222e-01,4.514404e-02,1.394440e-01,6.860787e-02,2.936760e-02,3.975933e-02,2.153969e-02,3.539945e-02	1.237516	0.176063	-0.228962	-735404.740418	22
27	87	302843	0.768351	0.000001	0.000000	0.114778	0.000000	0.009297	0.000000	0.107572	0.000000	0.000001	0.116869	0.222350	0.000000	0.000000	0.000000	0.107572	0.000000	0.107572	0.169611	-0.052741	-630738.242272	118	-1	0.209020	5.061241e-01,1.122076e-01,4.413270e-02,1.404395e-01,7.181587e-02,2.904440e-02,3.846644e-02,2.161706e-02,3.615238e-02	1.150152	0.186096	-0.208937	-700141.363526	18
27	88	296767	0.733947	0.000000	0.000000	0.149202	0.000000	0.021652	0.000000	0.095199	0.000000	0.000000	0.116851	0.244401	0.000000	0.000000	0.000000	0.095199	0.000000	0.095199	0.180626	-0.063775	-614584.681724	106	-1	0.204826	5.063927e-01,1.115936e-01,4.529553e-02,1.419618e-01,6.757675e-02,3.112859e-02,3.959292e-02,2.066697e-02,3.579114e-02	1.256178	0.173167	-0.232007	-682200.656990	25
27	89	180629	0.543400	0.000011	0.000034	0.340230	0.000000	0.000015	0.001906	0.114403	0.000000	0.001469	0.116324	0.454633	0.000973	0.000953	0.000000	0.114437	0.000000	0.114437	0.286471	-0.170107	-387604.871855	98	-1	0.124669	5.289178e-01,7.432648e-02,5.944769e-02,1.487121e-01,5.351494e-02,3.752716e-02,4.200368e-02,1.406747e-02,4.148271e-02	1.895758	0.142295	-0.391413	-430201.581269	25
27	90	40562	0.317462	0.000000	0.005607	0.597809	0.000001	0.000002	0.000006	0.079108	0.000005	0.005617	0.079121	0.676923	0.002812	0.000008	0.000005	0.084715	0.000005	0.084720	0.383633	-0.298904	-86835.505160	50	-1	0.027996	5.328168e-01,3.291458e-02,7.918421e-02,1.730816e-01,4.635975e-02,4.224232e-02,4.597100e-02,4.580149e-03,4.284959e-02	2.699652	0.122653	-0.590241	-95770.817143	34
28	29	711606	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.491145	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
28	30	699636	0.827961	0.000021	0.000000	0.035813	0.000001	0.053534	0.000001	0.082670	0.000000	0.000011	0.136204	0.118483	0.000006	0.000000	0.000000	0.082670	0.000000	0.082670	0.127355	0.008861	-1672230.421553	82	-1	0.482884	4.973412e-01,1.395101e-01,3.728282e-02,1.355562e-01,7.654137e-02,2.375942e-02,3.857325e-02,2.473746e-02,2.669812e-02	0.991047	0.191632	-0.157708	-1820703.519614	10
28	31	735328	0.777923	0.000016	0.000000	0.083572	0.000000	0.054859	0.000000	0.083629	0.000000	0.000008	0.138489	0.167202	0.000004	0.000000	0.000000	0.083629	0.000000	0.083629	0.152853	-0.014356	-1725528.404832	70	-1	0.507518	5.014953e-01,1.313137e-01,4.143529e-02,1.384701e-01,7.137820e-02,2.564332e-02,3.995006e-02,2.388934e-02,2.642465e-02	1.140199	0.178133	-0.197788	-1880315.638852	11
28	32	721252	0.803607	0.000005	0.000000	0.059740	0.000000	0.057967	0.000000	0.078681	0.000000	0.000003	0.136648	0.138422	0.000002	0.000000	0.000000	0.078681	0.000000	0.078681	0.137537	-0.000887	-1695157.606952	58	-1	0.497803	4.979795e-01,1.367441e-01,3.931416e-02,1.379724e-01,7.336677e-02,2.456115e-02,3.947492e-02,2.441315e-02,2.617381e-02	1.073907	0.182287	-0.179012	-1848964.782705	10
28	33	716491	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-inf	10000	-nan	0.494517	-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan	-nan	-nan	-nan	-nan	10000
28	34	707191	0.807825	0.000096	0.000000	0.054577	0.000004	0.054494	0.000000	0.083003	0.000000	0.000051	0.137498	0.137585	0.000026	0.000000	0.000002	0.083003	0.000000	0.083003	0.137591	-0.000042	-1673043.594462	58	-1	0.488098	4.998138e-01,1.356091e-01,3.852424e-02,1.355946e-01,7.498918e-02,2.492944e-02,3.901182e-02,2.473988e-02,2.678791e-02	1.033963	0.188222	-0.170081	-1822985.704730	10
28	35	734761	0.810329	0.000041	0.000000	0.052989	0.000000	0.057356	0.000006	0.079279	0.000000	0.000025	0.136640	0.132268	0.000013	0.000003	0.000000	0.079279	0.000000	0.079279	0.134478	0.002183	-1706723.210472	78	-1	0.507127	4.977814e-01,1.368592e-01,3.883833e-02,1.363368e-01,7.572411e-02,2.429033e-02,3.882439e-02,2.520341e-02,2.614206e-02	1.025601	0.189144	-0.167886	-1861419.282328	10
