ID,Box,Year,Sex,Date,Population,Location,isotope data?,Alternate ID,notes
147,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.22,
148,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.23,
149,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.24,
150,EP,2020,male,June,ENA,"Chicago, IL - Jackson Park",no,E0.25,
151,EP,2020,female,June,ENA,"Chicago, IL - Jackson Park",no,E0.26,
152,EP,2020,female,June,PR,Puerto Rico,no,P0.1,
153,EP,2020,female,June,PR,Puerto Rico,no,P0.2,
154,EP,2020,female,June,PR,Puerto Rico,no,P0.3,
155,EP,2020,female,June,PR,Puerto Rico,no,P0.4,
156,EP,2020,female,June,PR,Puerto Rico,no,P0.5,
157,EP,2020,male,June,PR,Puerto Rico,no,P0.6,
158,EP,2020,female,June,PR,Puerto Rico,no,P0.7,
159,EP,2020,male,June,PR,Puerto Rico,no,P0.8,
160,EP,2020,male,June,PR,Puerto Rico,no,P0.9,
161,EP,2020,female,June,PR,Puerto Rico,no,P0.10,
162,EP,2020,male,June,PR,Puerto Rico,no,P0.11,
163,EP,2020,male,June,PR,Puerto Rico,no,P0.12,
164,EP,2020,male,June,PR,Puerto Rico,no,P0.13,
165,EP,2020,male,June,PR,Puerto Rico,no,P0.14,
166,EP,2020,male,June,PR,Puerto Rico,no,P0.15,
167,EP,2020,female,June,PR,Puerto Rico,no,P0.16,
168,EP,2020,female,June,PR,Puerto Rico,no,P0.17,
169,misc,2017,male,2017-05-31,WNA,"Davis, CA - Arboretum",no,Davis_003,
170,misc,2017,male,2017-05-31,WNA,"Davis, CA - Arboretum",no,Davis_004,
171,misc,2017,male,2017-05-26,WNA,"Davis, CA - Arboretum",no,004,
172,misc,2018,female,2018-05-07,WNA,"Davis, CA - Arboretum",no,CA-3,reared from caterpillar collected in Arboretum; Batch 1
173,misc,2018,male,2017-05-08,WNA,"Davis, CA - Arboretum",no,CA-5,reared from caterpillar collected in Arboretum; Batch 2
174,misc,2018,female,2017-05-11,WNA,"Davis, CA - Arboretum",no,CA-7,reared from caterpillar collected in Arboretum; Batch 3
175,misc,2018,female,2018-06-17,WNA,"Cache Creek, CA",no,CA-X3,
176,misc,2017,female,June,ENA,"Story County, IA",no,NA47,
177,misc,2017,female,June,ENA,"Story County, IA",no,NA48,
178,misc,2017,male,June,ENA,"Story County, IA",no,NA49,
179,misc,2017,female,June,ENA,"Story County, IA",no,NA56,
180,misc,2017,female,June,ENA,"Story County, IA",no,NA70,
181,misc,2017,male,August,AU,"Pinjarra Hills, QLD",no,AU1,
182,misc,2017,female,June,HAW,"Kapalua, Maui",no,HI19,
183,misc,2016,male,2016-05-13,WNA,"Santa Cruz Island, CA",no,NA,
184,misc,2018,male,2018-06-06,WNA,"Davis, CA - Arboretum",no,CA-X1,
185,misc,2018,male,2018-04-17,WNA,"Davis, CA - Arboretum",no,CA-9,reared from caterpillar collected in Arboretum
186,misc,2018,male,2018-04-19,WNA,"Davis, CA - Arboretum",no,CA-10,reared from caterpillar collected in Arboretum
187,misc,2018,male,2018-05-21,WNA,"Davis, CA - Arboretum",no,CA-11,reared from caterpillar collected in Arboretum
188,misc,2018,female,August,ENA,"Chicago, IL - Jackson Park",no,ENA-A,
189,misc,2018,male,August,ENA,"Chicago, IL - Jackson Park",no,ENA-F,
190,misc,2018,male,July,HAW,Oahu,no,H-15,
191,misc,2018,male,July,HAW,Oahu,no,H-16,
192,misc,2018,female,July,HAW,Oahu,no,H-18,
193,misc,2017,female,2017-06-18,HAW,"Kapalua, Maui",no,HI8,
194,misc,2017,male,2017-06-18,HAW,"Kapalua, Maui",no,HI16,
195,misc,2017,male,2017-06-18,HAW,"Kapalua, Maui",no,HI18,
196,misc,2017,male,2017-06-21,HAW,"Kapalua, Maui",no,HI24,
197,misc,2017,male,2017-06-21,HAW,"Kapalua, Maui",no,HI25,
198,misc,2018,female,2018-06-01,GUA,"Dededo, Guam",no,G13,
199,misc,2018,female,2018-06-02,GUA,"Dededo, Guam",no,G21,
200,misc,2018,female,2018-06-02,GUA,"Dededo, Guam",no,G23,
201,misc,2018,female,2018-06-03,GUA,"Dededo, Guam",no,G32,
202,misc,2018,female,2018-06-04,GUA,"Dededo, Guam",no,G40,
203,misc,2018,female,2018-06-04,GUA,"Dededo, Guam",no,G46,
204,misc,2018,female,August,PR,Puerto Rico,no,PR-101,reared from caterpillar collected on Calotropis
205,misc,2018,female,August,PR,Puerto Rico,no,PR-102,reared from caterpillar collected on Calotropis
206,misc,2018,female,August,PR,Puerto Rico,no,PR-104,reared from caterpillar collected on Calotropis
207,misc,2018,female,August,PR,Puerto Rico,no,PR-105,reared from caterpillar collected on Calotropis
208,misc,2018,female,August,PR,Puerto Rico,no,PR-111,reared from caterpillar collected on Calotropis
209,misc,2018,female,August,PR,Puerto Rico,no,PR-112,reared from caterpillar collected on Calotropis
210,misc,2018,female,August,PR,Puerto Rico,no,PR-113,reared from caterpillar collected on Calotropis
